CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
11288610,08/18/2019 03:51:37 PM,08/18/2019 04:02:00 PM,08/18/2019 04:02:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"425 LONDON ST, SAN FRANCISCO, CA, 94112",LONDON ST,11,Excelsior,INGLESIDE,37.722257550246,-122.43533849526,"(37.72225755, -122.4353385)",Mobile/Open311,
11286452,08/18/2019 02:33:00 AM,08/19/2019 06:00:08 AM,08/19/2019 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"250 CLARA ST, SAN FRANCISCO, CA, 94107",CLARA ST,6,South of Market,SOUTHERN,37.778623444458,-122.40344326773,"(37.77862344, -122.40344327)",Mobile/Open311,
11286448,08/18/2019 02:05:00 AM,08/19/2019 06:00:08 AM,08/19/2019 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"2514 FOLSOM ST, SAN FRANCISCO, CA, 94110",FOLSOM ST,9,Mission,MISSION,37.75699,-122.414633,"(37.75699, -122.414633)",Mobile/Open311,
11286447,08/18/2019 02:03:00 AM,08/19/2019 06:00:08 AM,08/19/2019 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"705 NAPLES ST, SAN FRANCISCO, CA, 94112",NAPLES ST,11,Excelsior,INGLESIDE,37.717613,-122.43356,"(37.717613, -122.43356)",Mobile/Open311,
11286439,08/18/2019 01:22:00 AM,08/19/2019 06:00:08 AM,08/19/2019 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"169 7TH AVE, SAN FRANCISCO, CA, 94118",7TH AVE,1,Presidio Terrace,RICHMOND,37.785372047548,-122.465797667798,"(37.78537205, -122.46579767)",Mobile/Open311,
11286428,08/18/2019 12:56:00 AM,08/19/2019 06:00:08 AM,08/19/2019 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"705 NAPLES ST, SAN FRANCISCO, CA, 94112",NAPLES ST,11,Excelsior,INGLESIDE,37.717597,-122.433551,"(37.717597, -122.433551)",Mobile/Open311,
11286384,08/17/2019 11:37:00 PM,08/18/2019 06:00:06 AM,08/18/2019 06:00:06 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,Intersection of GRAND VIEW AVE and 25TH ST,GRAND VIEW AVE,8,Upper Market,MISSION,37.749164902533,-122.442604291901,"(37.7491649, -122.44260429)",Mobile/Open311,
11286339,08/17/2019 10:50:32 PM,08/17/2019 11:19:00 PM,08/17/2019 11:19:00 PM,Closed,"Comment Noted - This is a SFPD matter, please contact them for dispatch at 415-553-0123 or 911 for any life threatening concerns or criminal activity",311 Supervisor Queue,Noise Report,Noise Issue,Other,"356 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,6,South of Market,SOUTHERN,37.774739,-122.402268,"(37.774739, -122.402268)",Mobile/Open311,
11286335,08/17/2019 10:45:56 PM,08/17/2019 11:20:00 PM,08/17/2019 11:20:00 PM,Closed,"Comment Noted - This is a SFPD matter, please contact them for dispatch at 415-553-0123 or 911 for any life threatening concerns or criminal activity",311 Supervisor Queue,Noise Report,Noise Issue,Other,"655 INNES AVE, SAN FRANCISCO, CA, 94124",INNES AVE,10,Hunters Point,BAYVIEW,37.729329747432,-122.370711841132,"(37.72932975, -122.37071184)",Mobile/Open311,
11286319,08/17/2019 10:31:00 PM,08/18/2019 06:00:06 AM,08/18/2019 06:00:06 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1504 JERROLD AVE, SAN FRANCISCO, CA, 94124",JERROLD AVE,10,Bayview,BAYVIEW,37.737962,-122.387615,"(37.737962, -122.387615)",Mobile/Open311,
11286290,08/17/2019 10:13:00 PM,08/18/2019 06:00:06 AM,08/18/2019 06:00:06 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"29 RICHLAND AVE, SAN FRANCISCO, CA, 94110",RICHLAND AVE,8,Holly Park,INGLESIDE,37.736174478131,-122.426627996789,"(37.73617448, -122.426628)",Mobile/Open311,
11286260,08/17/2019 09:48:00 PM,08/18/2019 06:00:05 AM,08/18/2019 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"511 MISSOURI ST, SAN FRANCISCO, CA, 94107",MISSOURI ST,10,Potrero Hill,BAYVIEW,37.759654913579,-122.396015140361,"(37.75965491, -122.39601514)",Mobile/Open311,
11285705,08/17/2019 05:52:58 PM,08/17/2019 05:54:00 PM,08/17/2019 05:54:00 PM,Closed,"Comment Noted - This is a SFPD matter, please contact them for dispatch at 415-553-0123 or 911 for any life threatening concerns or criminal activity",311 Supervisor Queue,Noise Report,Noise Issue,Other,"533 MISSOURI ST, SAN FRANCISCO, CA, 94107",MISSOURI ST,10,Potrero Hill,BAYVIEW,37.7595776,-122.3959288,"(37.7595776, -122.3959288)",Mobile/Open311,
11285519,08/17/2019 04:59:43 PM,08/17/2019 05:08:00 PM,08/17/2019 05:08:00 PM,Closed,Comment Noted - Noise complaints like these must be reported to SFPD at 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"555 MISSOURI ST, SAN FRANCISCO, CA, 94107",MISSOURI ST,10,Potrero Hill,BAYVIEW,37.7593038,-122.3959022,"(37.7593038, -122.3959022)",Mobile/Open311,
11285319,08/17/2019 04:09:11 PM,08/17/2019 04:11:00 PM,08/17/2019 04:11:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"579 MADRID ST, SAN FRANCISCO, CA, 94112",MADRID ST,11,Excelsior,INGLESIDE,37.720330605036,-122.433336351843,"(37.72033061, -122.43333635)",Mobile/Open311,
11284333,08/17/2019 11:51:29 AM,08/18/2019 06:00:05 AM,08/18/2019 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"608 HOLLOWAY AVE, SAN FRANCISCO, CA, 94112",HOLLOWAY AVE,7,Ingleside,TARAVAL,37.721935272217,-122.459442138672,"(37.72193527, -122.45944214)",Web,
11283572,08/17/2019 08:38:27 AM,08/18/2019 06:00:05 AM,08/18/2019 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"114 SAINT CHARLES AVE, SAN FRANCISCO, CA, 94132",SAINT CHARLES AVE,7,Merced Heights,TARAVAL,37.711925506592,-122.469352722168,"(37.71192551, -122.46935272)",Web,
11283284,08/17/2019 06:49:46 AM,08/17/2019 06:59:00 AM,08/17/2019 06:59:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"626 HEAD ST, SAN FRANCISCO, CA, 94132",HEAD ST,11,Ingleside,TARAVAL,37.718459,-122.464217,"(37.718459, -122.464217)",Mobile/Open311,
11283202,08/17/2019 04:17:47 AM,08/17/2019 04:47:00 AM,08/17/2019 04:47:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"169 7TH AVE, SAN FRANCISCO, CA, 94118",7TH AVE,1,Presidio Terrace,RICHMOND,37.785369617605,-122.465778343798,"(37.78536962, -122.46577834)",Mobile/Open311,
11283169,08/17/2019 01:49:46 AM,08/17/2019 01:51:00 AM,08/17/2019 01:51:00 AM,Closed,"Comment Noted - To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"556 JONES ST, SAN FRANCISCO, CA, 94102",JONES ST,6,Tenderloin,TENDERLOIN,37.7866035,-122.4129672,"(37.7866035, -122.4129672)",Web,
11283136,08/17/2019 12:51:32 AM,08/17/2019 01:03:00 AM,08/17/2019 01:03:00 AM,Closed,"Comment Noted - To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"729 21ST AVE, SAN FRANCISCO, CA, 94121",21ST AVE,1,Outer Richmond,RICHMOND,37.774071,-122.480131,"(37.774071, -122.480131)",Mobile/Open311,
11282995,08/16/2019 10:23:51 PM,08/16/2019 10:37:00 PM,08/16/2019 10:37:00 PM,Closed,Comment Noted - Please contact SFPD Non Emergency at 415-553-0123.  Thank you.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"169 7TH AVE, SAN FRANCISCO, CA, 94118",7TH AVE,1,Presidio Terrace,RICHMOND,37.785374565923,-122.465792828719,"(37.78537457, -122.46579283)",Mobile/Open311,
11282548,08/16/2019 06:37:03 PM,08/16/2019 06:46:00 PM,08/16/2019 06:46:00 PM,Closed,"Case is Invalid - Unfortunately, this is not a report 311 can take.  Please contact the non-emergency line of SFPD at (415) 553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"145 FLORIDA ST, SAN FRANCISCO, CA, 94103",FLORIDA ST,9,Mission,MISSION,37.767426099329,-122.411461198556,"(37.7674261, -122.4114612)",Mobile/Open311,
11282363,08/16/2019 05:36:35 PM,08/16/2019 05:45:00 PM,08/16/2019 05:45:00 PM,Closed,"Case is Invalid - Unfortunately, 311 cannot take this type of noise report.  Please contact the non-emergency line of SFPD at (415) 553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"1306 GRANT AVE, SAN FRANCISCO, CA, 94133",GRANT AVE,3,North Beach,CENTRAL,37.79904864732,-122.407233612726,"(37.79904865, -122.40723361)",Mobile/Open311,
11282352,08/16/2019 05:34:01 PM,08/16/2019 05:51:00 PM,08/16/2019 05:51:00 PM,Closed,Case Transferred,311 Supervisor Queue,Noise Report,Noise Issue,Other,"333 BRYANT ST, SAN FRANCISCO, CA, 94107",BRYANT ST,6,South Beach,SOUTHERN,37.783925,-122.392117,"(37.783925, -122.392117)",Mobile/Open311,
11280980,08/16/2019 01:05:00 PM,,08/16/2019 01:13:23 PM,Open,open,Police Department Administration - G,Noise Report,Noise Issue,Other,"80 FRANK NORRIS ST, SAN FRANCISCO, CA, 94109",FRANK NORRIS ST,3,Lower Nob Hill,NORTHERN,37.789224,-122.4201,"(37.789224, -122.4201)",Mobile/Open311,
11280541,08/16/2019 11:55:00 AM,08/19/2019 10:25:00 AM,08/19/2019 10:25:00 AM,Closed,"Case Transferred - To view status, see http://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo=201977951 or call (415) 558-6570.",DBI Building Inspection Queue,Noise Report,Noise Issue,Other,"950 MARKET ST, SAN FRANCISCO, CA, 94102",MARKET ST,6,Tenderloin,TENDERLOIN,37.7832661,-122.409335,"(37.7832661, -122.409335)",Web,
11279585,08/16/2019 09:20:56 AM,08/17/2019 06:00:01 AM,08/17/2019 06:00:01 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"16 DELMAR ST, SAN FRANCISCO, CA, 94117",DELMAR ST,5,Haight Ashbury,PARK,37.76880645752,-122.445739746094,"(37.76880646, -122.44573975)",Web,
11278573,08/16/2019 12:54:39 AM,08/16/2019 02:30:00 AM,08/16/2019 02:30:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD  Non Emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"51 MOSS ST, SAN FRANCISCO, CA, 94103",MOSS ST,6,South of Market,SOUTHERN,37.777761,-122.408086,"(37.777761, -122.408086)",Mobile/Open311,
11278505,08/15/2019 11:18:26 PM,08/16/2019 12:41:00 AM,08/16/2019 12:41:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD Non Emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"2201 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,3,Polk Gulch,NORTHERN,37.7970217,-122.4221937,"(37.7970217, -122.4221937)",Web,
11278416,08/15/2019 10:05:28 PM,08/16/2019 12:40:00 AM,08/16/2019 12:40:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD Non Emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"1323 23RD AVE, SAN FRANCISCO, CA, 94122",23RD AVE,4,Outer Sunset,TARAVAL,37.762969164213,-122.481505824367,"(37.76296916, -122.48150582)",Mobile/Open311,
11278058,08/15/2019 07:30:00 PM,08/16/2019 06:00:58 AM,08/16/2019 06:00:58 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"3121 LAWTON ST, SAN FRANCISCO, CA, 94122",LAWTON ST,4,Outer Sunset,TARAVAL,37.756859946989,-122.49646,"(37.75685995, -122.49646)",Mobile/Open311,
11277830,08/15/2019 06:23:00 PM,08/16/2019 06:00:58 AM,08/16/2019 06:00:58 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"16 MADISON ST, SAN FRANCISCO, CA, 94134",MADISON ST,11,Excelsior,INGLESIDE,37.728498713877,-122.42375384544,"(37.72849871, -122.42375385)",Mobile/Open311,
11277680,08/15/2019 05:43:09 PM,08/15/2019 05:55:00 PM,08/15/2019 05:55:00 PM,Closed,"Case is Invalid - Unfortunately, 311 cannot take noise complaints regarding private residences.  Please contact the non-emergency line of SFPD at (415) 553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"10 MADISON ST, SAN FRANCISCO, CA, 94134",MADISON ST,11,Excelsior,INGLESIDE,37.728541289985,-122.423786571647,"(37.72854129, -122.42378657)",Mobile/Open311,
11277522,08/15/2019 05:03:00 PM,08/16/2019 06:00:58 AM,08/16/2019 06:00:58 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1 FELL ST, SAN FRANCISCO, CA, 94102",FELL ST,6,South of Market,TENDERLOIN,37.776517999891,-122.417548357278,"(37.776518, -122.41754836)",Mobile/Open311,
11274684,08/15/2019 09:28:00 AM,08/16/2019 10:44:00 AM,08/16/2019 10:44:00 AM,Closed,Case Resolved,Animal Care and Control - G,Noise Report,Noise Issue,Other,"130 MINNA ST, SAN FRANCISCO, CA, 94105",MINNA ST,6,South of Market,SOUTHERN,37.787101815862,-122.399812348847,"(37.78710182, -122.39981235)",Mobile/Open311,
11273795,08/15/2019 04:50:00 AM,08/16/2019 06:00:58 AM,08/16/2019 06:00:58 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"260 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,6,South of Market,SOUTHERN,37.77340260859,-122.413759027606,"(37.77340261, -122.41375903)",Mobile/Open311,
11273760,08/15/2019 03:24:00 AM,08/16/2019 06:00:58 AM,08/16/2019 06:00:58 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"232 DORE ST, SAN FRANCISCO, CA, 94103",DORE ST,6,South of Market,SOUTHERN,37.771550162588,-122.410250129897,"(37.77155016, -122.41025013)",Mobile/Open311,
11273707,08/15/2019 12:19:00 AM,08/16/2019 06:00:58 AM,08/16/2019 06:00:58 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"705 NAPLES ST, SAN FRANCISCO, CA, 94112",NAPLES ST,11,Excelsior,INGLESIDE,37.717563,-122.433525,"(37.717563, -122.433525)",Mobile/Open311,
11273672,08/14/2019 11:13:45 PM,08/15/2019 06:00:54 AM,08/15/2019 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2101 CALIFORNIA ST, SAN FRANCISCO, CA, 94115",CALIFORNIA ST,5,Pacific Heights,NORTHERN,37.789360046387,-122.429092407227,"(37.78936005, -122.42909241)",Web,
11273024,08/14/2019 06:47:31 PM,08/14/2019 07:06:00 PM,08/14/2019 07:06:00 PM,Closed,"Comment Noted - This is a SFPD matter, please contact them for dispatch at 415-553-0123 or 911 for any life threatening concerns or criminal activity",311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of 26TH ST and ORANGE ALY,26TH ST,9,Mission,MISSION,37.74899299268,-122.419823214825,"(37.74899299, -122.41982321)",Mobile/Open311,
11272971,08/14/2019 06:35:45 PM,08/15/2019 06:00:54 AM,08/15/2019 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
11271608,08/14/2019 02:09:00 PM,08/15/2019 06:00:54 AM,08/15/2019 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1 THE EMBARCADERO, SAN FRANCISCO, CA, 94107",THE EMBARCADERO,6,South Beach,SOUTHERN,37.781845092773,-122.388427734375,"(37.78184509, -122.38842773)",Phone,
11269527,08/14/2019 08:34:36 AM,08/15/2019 06:00:54 AM,08/15/2019 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1834 FELL ST, SAN FRANCISCO, CA, 94117",FELL ST,5,Panhandle,PARK,37.772834777832,-122.448135375977,"(37.77283478, -122.44813538)",Web,
11269111,08/14/2019 06:45:49 AM,08/14/2019 07:21:00 AM,08/14/2019 07:21:00 AM,Closed,Case Transferred - Call the police,311 Supervisor Queue,Noise Report,Noise Issue,Other,"308 SANCHEZ ST, SAN FRANCISCO, CA, 94114",SANCHEZ ST,8,Castro,MISSION,37.764089621841,-122.430905438922,"(37.76408962, -122.43090544)",Mobile/Open311,
11269103,08/14/2019 06:42:00 AM,08/22/2019 08:06:25 AM,08/22/2019 08:06:25 AM,Closed,"Case Resolved
We now start at 6:30 am, we also working on getting and electric blower . This blower will be much quiet than the one we currently use.",RPD Park Service Area 2 Queue,Noise Report,Noise Issue,Other,"Tenderloin Recreation Center, SAN FRANCISCO, CA, 94109",ELLIS ST,6,Tenderloin,TENDERLOIN,37.784828709814,-122.41523544753,"(37.78482871, -122.41523545)",Mobile/Open311,
11269060,08/14/2019 06:21:42 AM,08/14/2019 07:08:00 AM,08/14/2019 07:08:00 AM,Closed,Case Transferred - Call the Police,311 Supervisor Queue,Noise Report,Noise Issue,Other,"276 CAPP ST, SAN FRANCISCO, CA, 94110",CAPP ST,9,Mission,MISSION,37.76237984822,-122.418407775552,"(37.76237985, -122.41840778)",Mobile/Open311,
11268935,08/14/2019 01:49:00 AM,08/15/2019 06:00:54 AM,08/15/2019 06:00:54 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1401 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,6,South of Market,SOUTHERN,37.7752,-122.415946666667,"(37.7752, -122.41594667)",Mobile/Open311,
11268745,08/13/2019 10:08:53 PM,08/14/2019 06:00:52 AM,08/14/2019 06:00:52 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
11268654,08/13/2019 09:26:00 PM,08/14/2019 06:00:52 AM,08/14/2019 06:00:52 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"518 BRANNAN ST, SAN FRANCISCO, CA, 94107",BRANNAN ST,6,South of Market,SOUTHERN,37.777901561881,-122.39716106026,"(37.77790156, -122.39716106)",Mobile/Open311,
11267396,08/13/2019 04:01:46 PM,08/13/2019 04:03:00 PM,08/13/2019 04:03:00 PM,Closed,Case is Invalid - Please Report to SFPD 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"169 7TH AVE, SAN FRANCISCO, CA, 94118",7TH AVE,1,Presidio Terrace,RICHMOND,37.78538527014,-122.465816357479,"(37.78538527, -122.46581636)",Mobile/Open311,
11266249,08/13/2019 12:53:00 PM,,08/13/2019 12:57:50 PM,Open,open,Police Department Administration - G,Noise Report,Noise Issue,Other,"20 CEDAR ST, SAN FRANCISCO, CA, 94109",CEDAR ST,6,Lower Nob Hill,NORTHERN,37.786541369558,-122.418549026612,"(37.78654137, -122.41854903)",Mobile/Open311,
11263857,08/13/2019 06:40:06 AM,08/13/2019 06:49:00 AM,08/13/2019 06:49:00 AM,Closed,"Comment Noted - To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"339 HYDE ST, SAN FRANCISCO, CA, 94109",HYDE ST,6,Tenderloin,TENDERLOIN,37.783839684015,-122.415973004068,"(37.78383968, -122.415973)",Mobile/Open311,
11263856,08/13/2019 06:39:46 AM,08/13/2019 06:48:00 AM,08/13/2019 06:48:00 AM,Closed,"Comment Noted - To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"359 HYDE ST, SAN FRANCISCO, CA, 94109",HYDE ST,6,Tenderloin,TENDERLOIN,37.784201,-122.416198,"(37.784201, -122.416198)",Mobile/Open311,
11263691,08/13/2019 02:33:27 AM,08/13/2019 03:06:00 AM,08/13/2019 03:06:00 AM,Closed,"Comment Noted - To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency at 415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,"624 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,6,South of Market,SOUTHERN,37.777965261105,-122.410588074887,"(37.77796526, -122.41058807)",Mobile/Open311,
11263642,08/13/2019 12:32:47 AM,08/13/2019 01:08:00 AM,08/13/2019 01:08:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"747 POST ST, SAN FRANCISCO, CA, 94109",POST ST,3,Lower Nob Hill,CENTRAL,37.787487,-122.414082,"(37.787487, -122.414082)",Mobile/Open311,
11263572,08/12/2019 11:08:31 PM,08/13/2019 01:08:00 AM,08/13/2019 01:08:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of HAIGHT ST and ASHBURY ST,HAIGHT ST,5,Haight Ashbury,PARK,37.7700094,-122.4469369,"(37.7700094, -122.4469369)",Mobile/Open311,
11263492,08/12/2019 10:13:03 PM,08/13/2019 01:08:00 AM,08/13/2019 01:08:00 AM,Closed,"Comment Noted - If in progress, please contact SFPD non emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,"711 NAPLES ST, SAN FRANCISCO, CA, 94112",NAPLES ST,11,Excelsior,INGLESIDE,37.717595,-122.433616,"(37.717595, -122.433616)",Mobile/Open311,
11262814,08/12/2019 06:02:00 PM,08/12/2019 06:42:00 PM,08/12/2019 06:42:00 PM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,Police - Homeless Concerns Queue,Noise Report,Noise Issue,Other,"1335 SCOTT ST, SAN FRANCISCO, CA, 94115",SCOTT ST,5,Western Addition,NORTHERN,37.782191626435,-122.437617893798,"(37.78219163, -122.43761789)",Mobile/Open311,
11262244,08/12/2019 03:58:28 PM,08/13/2019 06:00:50 AM,08/13/2019 06:00:50 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"4831 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,1,Inner Richmond,RICHMOND,37.780502319336,-122.471229553223,"(37.78050232, -122.47122955)",Web,
11261699,08/12/2019 02:33:00 PM,08/12/2019 07:33:00 PM,08/12/2019 07:33:00 PM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,Police - Homeless Concerns Queue,Noise Report,Noise Issue,Other,"20 CEDAR ST, SAN FRANCISCO, CA, 94109",CEDAR ST,6,Lower Nob Hill,NORTHERN,37.786570313498,-122.41849218489,"(37.78657031, -122.41849218)",Mobile/Open311,
11261354,08/12/2019 01:41:00 PM,08/12/2019 07:35:00 PM,08/12/2019 07:35:00 PM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,Police - Homeless Concerns Queue,Noise Report,Noise Issue,Other,"20 CEDAR ST, SAN FRANCISCO, CA, 94109",CEDAR ST,6,Lower Nob Hill,NORTHERN,37.786567711752,-122.418509121628,"(37.78656771, -122.41850912)",Mobile/Open311,
11261034,08/12/2019 12:54:00 PM,08/13/2019 06:00:50 AM,08/13/2019 06:00:50 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"238 DAY ST, SAN FRANCISCO, CA, 94131",DAY ST,8,Noe Valley,INGLESIDE,37.74293,-122.4275784,"(37.74293, -122.4275784)",Web,
11191192,07/28/2019 11:36:15 AM,07/28/2019 11:44:00 AM,07/28/2019 11:44:00 AM,Closed,"Case Resolved - Reported to 911 DEM, CAD # 192091770",311 Supervisor Queue,Noise Report,Noise Issue,Other,"4800 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Sutro Heights,RICHMOND,37.77517,-122.51037,"(37.77517, -122.51037)",Mobile/Open311,
11260543,08/12/2019 11:47:00 AM,08/13/2019 06:00:50 AM,08/13/2019 06:00:50 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"20 CEDAR ST, SAN FRANCISCO, CA, 94109",CEDAR ST,6,Lower Nob Hill,NORTHERN,37.78651688713,-122.418591743648,"(37.78651689, -122.41859174)",Mobile/Open311,
11259646,08/12/2019 09:49:29 AM,08/12/2019 10:01:00 AM,08/12/2019 10:01:00 AM,Closed,"Case Resolved - Reported to DEM non emergency, agent # 116, CAD # 192241286",311 Supervisor Queue,Noise Report,Noise Issue,Other,"291 CAPP ST, SAN FRANCISCO, CA, 94110",CAPP ST,9,Mission,MISSION,37.762177074363,-122.418325720469,"(37.76217707, -122.41832572)",Mobile/Open311,
11259195,08/12/2019 08:53:30 AM,08/13/2019 06:00:50 AM,08/13/2019 06:00:50 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"505 26TH AVE, SAN FRANCISCO, CA, 94121",26TH AVE,1,Outer Richmond,RICHMOND,37.779731750488,-122.485977172852,"(37.77973175, -122.48597717)",Web,
11258419,08/12/2019 12:24:00 AM,08/13/2019 06:00:49 AM,08/13/2019 06:00:49 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"2710 PINE ST, SAN FRANCISCO, CA, 94115",PINE ST,2,Lower Pacific Heights,RICHMOND,37.7871855613,-122.440834767758,"(37.78718556, -122.44083477)",Mobile/Open311,
